Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/04,04:29,04:34,06:00,06:13,09:09,12:17,04:47,06:35,07:59
02/04,04:28,04:32,05:59,06:12,09:09,12:16,04:47,06:36,08:00
03/04,04:27,04:31,05:57,06:11,09:07,12:16,04:48,06:37,08:01
04/04,04:25,04:29,05:56,06:09,09:07,12:16,04:48,06:38,08:02
05/04,04:23,04:28,05:55,06:08,09:05,12:16,04:49,06:38,08:03
06/04,04:22,04:26,05:53,06:07,09:05,12:15,04:49,06:39,08:04
07/04,04:21,04:25,05:52,06:05,09:04,12:15,04:49,06:40,08:05
08/04,04:19,04:23,05:51,06:04,09:04,12:15,04:50,06:41,08:06
09/04,04:18,04:22,05:50,06:03,09:02,12:14,04:50,06:41,08:07
10/04,04:16,04:20,05:49,06:01,09:02,12:14,04:51,06:42,08:08
11/04,04:15,04:19,05:47,06:00,09:02,12:14,04:51,06:43,08:09
12/04,04:13,04:17,05:46,05:59,09:01,12:14,04:52,06:44,08:10
13/04,04:12,04:16,05:44,05:58,08:59,12:13,04:52,06:44,08:11
14/04,04:11,04:14,05:43,05:56,08:59,12:13,04:52,06:45,08:12
15/04,04:09,04:13,05:42,05:55,08:58,12:13,04:53,06:46,08:13
16/04,04:07,04:11,05:41,05:54,08:58,12:13,04:53,06:47,08:14
17/04,04:06,04:10,05:39,05:53,08:56,12:12,04:54,06:48,08:15
18/04,04:05,04:08,05:38,05:52,08:56,12:12,04:54,06:48,08:16
19/04,04:03,04:07,05:37,05:50,08:55,12:12,04:54,06:49,08:17
20/04,04:02,04:05,05:36,05:49,08:55,12:12,04:55,06:50,08:18
21/04,04:01,04:04,05:35,05:48,08:54,12:12,04:55,06:51,08:19
22/04,03:59,04:03,05:33,05:47,08:54,12:11,04:56,06:51,08:20
23/04,03:57,04:01,05:32,05:46,08:53,12:11,04:56,06:52,08:21
24/04,03:56,04:00,05:31,05:45,08:52,12:11,04:56,06:53,08:22
25/04,03:54,03:58,05:30,05:44,08:51,12:11,04:57,06:54,08:24
26/04,03:53,03:57,05:29,05:42,08:51,12:11,04:57,06:55,08:25
27/04,03:52,03:55,05:28,05:41,08:49,12:11,04:58,06:55,08:26
28/04,03:50,03:54,05:27,05:40,08:49,12:10,04:58,06:56,08:27
29/04,03:49,03:53,05:26,05:39,08:48,12:10,04:58,06:57,08:28
30/04,03:47,03:51,05:25,05:38,08:48,12:10,04:59,06:57,08:29
