Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/08,03:44,03:49,05:25,05:39,08:52,12:19,05:12,07:15,08:50
02/08,03:45,03:50,05:26,05:40,08:52,12:19,05:12,07:14,08:49
03/08,03:46,03:51,05:27,05:40,08:52,12:19,05:11,07:14,08:48
04/08,03:47,03:52,05:28,05:41,08:52,12:19,05:11,07:13,08:46
05/08,03:48,03:53,05:28,05:42,08:53,12:19,05:10,07:12,08:45
06/08,03:49,03:54,05:29,05:43,08:53,12:19,05:10,07:11,08:44
07/08,03:50,03:55,05:30,05:43,08:53,12:19,05:09,07:10,08:42
08/08,03:51,03:56,05:30,05:44,08:54,12:19,05:09,07:09,08:41
09/08,03:52,03:57,05:31,05:45,08:54,12:18,05:08,07:08,08:40
10/08,03:53,03:58,05:32,05:45,08:55,12:18,05:07,07:07,08:38
11/08,03:55,03:59,05:33,05:46,08:55,12:18,05:07,07:06,08:37
12/08,03:56,04:00,05:33,05:47,08:55,12:18,05:06,07:05,08:36
13/08,03:57,04:01,05:34,05:48,08:56,12:18,05:05,07:03,08:34
14/08,03:58,04:02,05:35,05:48,08:56,12:18,05:05,07:02,08:33
15/08,03:59,04:03,05:36,05:49,08:56,12:17,05:04,07:01,08:31
16/08,04:00,04:04,05:36,05:50,08:56,12:17,05:03,07:00,08:30
17/08,04:01,04:05,05:37,05:50,08:57,12:17,05:02,06:59,08:28
18/08,04:02,04:06,05:38,05:51,08:57,12:17,05:02,06:58,08:27
19/08,04:03,04:07,05:38,05:52,08:57,12:17,05:01,06:57,08:26
20/08,04:04,04:08,05:39,05:52,08:57,12:16,05:00,06:55,08:24
21/08,04:05,04:09,05:40,05:53,08:57,12:16,04:59,06:54,08:23
22/08,04:06,04:10,05:41,05:54,08:57,12:16,04:58,06:53,08:21
23/08,04:07,04:11,05:41,05:55,08:58,12:16,04:57,06:52,08:20
24/08,04:08,04:12,05:42,05:55,08:58,12:15,04:56,06:50,08:18
25/08,04:09,04:13,05:43,05:56,08:58,12:15,04:56,06:49,08:17
26/08,04:10,04:14,05:43,05:57,08:58,12:15,04:55,06:48,08:15
27/08,04:11,04:15,05:44,05:57,08:59,12:14,04:54,06:47,08:14
28/08,04:12,04:16,05:45,05:58,08:59,12:14,04:53,06:45,08:12
29/08,04:13,04:17,05:46,05:59,08:59,12:14,04:52,06:44,08:10
30/08,04:14,04:18,05:46,05:59,09:00,12:13,04:51,06:43,08:08
31/08,04:15,04:19,05:47,06:00,09:00,12:13,04:51,06:41,08:07
