Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/12,05:29,05:32,07:02,07:17,09:31,12:02,03:26,05:05,06:32
02/12,05:30,05:33,07:03,07:17,09:32,12:03,03:26,05:05,06:32
03/12,05:31,05:34,07:03,07:18,09:32,12:03,03:26,05:05,06:32
04/12,05:31,05:34,07:04,07:19,09:33,12:03,03:26,05:05,06:33
05/12,05:32,05:35,07:05,07:20,09:34,12:04,03:26,05:05,06:33
06/12,05:33,05:36,07:06,07:21,09:35,12:04,03:26,05:05,06:33
07/12,05:34,05:36,07:07,07:22,09:35,12:05,03:26,05:05,06:33
08/12,05:35,05:37,07:07,07:22,09:36,12:05,03:26,05:05,06:33
09/12,05:35,05:38,07:08,07:23,09:36,12:06,03:26,05:05,06:33
10/12,05:36,05:38,07:09,07:24,09:37,12:06,03:26,05:05,06:34
11/12,05:37,05:39,07:10,07:25,09:37,12:06,03:26,05:05,06:34
12/12,05:37,05:40,07:10,07:25,09:38,12:07,03:27,05:06,06:34
13/12,05:38,05:40,07:11,07:26,09:39,12:07,03:27,05:06,06:34
14/12,05:39,05:41,07:12,07:27,09:39,12:08,03:27,05:06,06:35
15/12,05:39,05:42,07:12,07:27,09:40,12:08,03:27,05:06,06:35
16/12,05:40,05:42,07:13,07:28,09:40,12:09,03:28,05:07,06:36
17/12,05:40,05:43,07:14,07:29,09:40,12:09,03:28,05:07,06:36
18/12,05:41,05:43,07:14,07:29,09:41,12:10,03:29,05:08,06:36
19/12,05:41,05:44,07:15,07:30,09:42,12:10,03:30,05:08,06:37
20/12,05:42,05:44,07:15,07:30,09:42,12:11,03:30,05:08,06:37
21/12,05:42,05:45,07:16,07:31,09:43,12:11,03:31,05:09,06:38
22/12,05:43,05:45,07:16,07:31,09:44,12:12,03:31,05:09,06:38
23/12,05:43,05:46,07:17,07:32,09:44,12:12,03:32,05:10,06:39
24/12,05:44,05:46,07:17,07:32,09:44,12:13,03:32,05:11,06:39
25/12,05:44,05:47,07:17,07:33,09:45,12:13,03:33,05:11,06:40
26/12,05:45,05:47,07:18,07:33,09:46,12:14,03:33,05:12,06:40
27/12,05:45,05:48,07:18,07:33,09:46,12:14,03:34,05:12,06:41
28/12,05:45,05:48,07:18,07:34,09:47,12:15,03:34,05:13,06:42
29/12,05:46,05:48,07:19,07:34,09:47,12:15,03:35,05:14,06:43
30/12,05:46,05:49,07:19,07:34,09:47,12:16,03:35,05:14,06:43
31/12,05:46,05:49,07:19,07:34,09:47,12:16,03:36,05:15,06:44
