Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/02,05:38,05:44,07:11,07:25,09:48,12:26,04:05,05:44,07:09
02/02,05:38,05:44,07:10,07:24,09:48,12:27,04:06,05:45,07:10
03/02,05:37,05:43,07:10,07:24,09:48,12:27,04:06,05:46,07:10
04/02,05:36,05:42,07:09,07:23,09:48,12:27,04:07,05:47,07:11
05/02,05:36,05:42,07:08,07:22,09:47,12:27,04:08,05:48,07:12
06/02,05:35,05:41,07:07,07:21,09:47,12:27,04:09,05:49,07:13
07/02,05:34,05:40,07:06,07:20,09:47,12:27,04:10,05:50,07:14
08/02,05:34,05:40,07:06,07:19,09:47,12:27,04:11,05:51,07:15
09/02,05:33,05:39,07:05,07:18,09:46,12:27,04:12,05:52,07:15
10/02,05:32,05:38,07:04,07:17,09:46,12:27,04:13,05:53,07:16
11/02,05:31,05:37,07:03,07:16,09:45,12:27,04:14,05:53,07:17
12/02,05:30,05:36,07:02,07:15,09:45,12:27,04:15,05:54,07:18
13/02,05:30,05:36,07:01,07:14,09:44,12:27,04:16,05:55,07:19
14/02,05:29,05:35,07:00,07:13,09:43,12:27,04:17,05:56,07:20
15/02,05:28,05:34,06:59,07:12,09:43,12:27,04:17,05:57,07:20
16/02,05:27,05:33,06:58,07:11,09:43,12:27,04:18,05:58,07:21
17/02,05:26,05:32,06:57,07:10,09:42,12:27,04:19,05:59,07:22
18/02,05:25,05:31,06:56,07:09,09:41,12:27,04:20,06:00,07:23
19/02,05:24,05:30,06:55,07:08,09:41,12:27,04:21,06:01,07:24
20/02,05:23,05:29,06:54,07:07,09:40,12:27,04:22,06:02,07:25
21/02,05:22,05:28,06:52,07:06,09:40,12:26,04:22,06:03,07:25
22/02,05:21,05:27,06:51,07:05,09:38,12:26,04:23,06:04,07:26
23/02,05:20,05:26,06:50,07:03,09:38,12:26,04:24,06:05,07:27
24/02,05:19,05:25,06:49,07:02,09:38,12:26,04:25,06:05,07:28
25/02,05:17,05:23,06:48,07:01,09:37,12:26,04:25,06:06,07:29
26/02,05:16,05:22,06:47,07:00,09:37,12:26,04:26,06:07,07:30
27/02,05:15,05:21,06:45,06:59,09:36,12:26,04:27,06:08,07:30
28/02,05:14,05:20,06:44,06:57,09:34,12:26,04:28,06:09,07:31
29/02,05:13,05:19,06:43,06:56,09:34,12:26,04:29,06:10,07:32
