Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/01,05:43,05:49,07:19,07:34,09:48,12:16,03:36,05:15,06:44
02/01,05:44,05:49,07:19,07:34,09:48,12:17,03:37,05:16,06:44
03/01,05:44,05:49,07:20,07:35,09:48,12:17,03:38,05:17,06:45
04/01,05:44,05:49,07:20,07:35,09:49,12:18,03:39,05:18,06:46
05/01,05:44,05:49,07:20,07:35,09:49,12:18,03:39,05:18,06:47
06/01,05:45,05:50,07:20,07:35,09:49,12:19,03:40,05:19,06:47
07/01,05:45,05:50,07:20,07:35,09:49,12:19,03:41,05:20,06:48
08/01,05:45,05:50,07:20,07:35,09:49,12:19,03:42,05:21,06:49
09/01,05:45,05:50,07:20,07:35,09:50,12:20,03:43,05:22,06:50
10/01,05:45,05:50,07:20,07:35,09:50,12:20,03:44,05:23,06:50
11/01,05:45,05:50,07:20,07:35,09:50,12:21,03:44,05:23,06:51
12/01,05:45,05:50,07:20,07:34,09:50,12:21,03:45,05:24,06:52
13/01,05:45,05:50,07:20,07:34,09:51,12:21,03:46,05:25,06:53
14/01,05:45,05:50,07:19,07:34,09:51,12:22,03:47,05:26,06:53
15/01,05:45,05:50,07:19,07:34,09:51,12:22,03:48,05:27,06:54
16/01,05:45,05:50,07:19,07:34,09:51,12:23,03:49,05:28,06:55
17/01,05:44,05:50,07:19,07:33,09:51,12:23,03:50,05:29,06:56
18/01,05:44,05:50,07:18,07:33,09:51,12:23,03:51,05:30,06:57
19/01,05:44,05:49,07:18,07:33,09:50,12:24,03:52,05:31,06:58
20/01,05:44,05:49,07:18,07:32,09:50,12:24,03:53,05:32,06:59
21/01,05:44,05:49,07:17,07:32,09:50,12:24,03:54,05:33,07:00
22/01,05:43,05:49,07:17,07:31,09:50,12:25,03:55,05:34,07:01
23/01,05:43,05:48,07:16,07:31,09:50,12:25,03:56,05:35,07:02
24/01,05:43,05:48,07:16,07:30,09:50,12:25,03:57,05:36,07:03
25/01,05:42,05:48,07:15,07:30,09:50,12:25,03:58,05:37,07:04
26/01,05:42,05:47,07:15,07:29,09:50,12:26,03:59,05:38,07:04
27/01,05:42,05:47,07:14,07:29,09:50,12:26,04:00,05:39,07:05
28/01,05:41,05:47,07:14,07:28,09:49,12:26,04:01,05:40,07:06
29/01,05:41,05:46,07:13,07:27,09:49,12:26,04:02,05:41,07:07
30/01,05:40,05:46,07:13,07:27,09:49,12:26,04:03,05:42,07:07
31/01,05:40,05:45,07:12,07:26,09:49,12:26,04:04,05:43,07:08
