Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/07,03:16,03:21,05:06,05:20,08:41,12:17,05:18,07:30,09:13
02/07,03:16,03:21,05:06,05:21,08:41,12:17,05:18,07:30,09:13
03/07,03:17,03:22,05:07,05:21,08:42,12:17,05:18,07:30,09:13
04/07,03:18,03:23,05:07,05:22,08:42,12:18,05:18,07:30,09:13
05/07,03:18,03:23,05:08,05:22,08:42,12:18,05:18,07:30,09:12
06/07,03:19,03:24,05:08,05:23,08:42,12:18,05:18,07:29,09:12
07/07,03:20,03:25,05:09,05:23,08:43,12:18,05:18,07:29,09:11
08/07,03:21,03:26,05:09,05:24,08:44,12:18,05:18,07:29,09:11
09/07,03:22,03:26,05:10,05:24,08:44,12:18,05:18,07:29,09:10
10/07,03:23,03:27,05:11,05:25,08:45,12:18,05:18,07:28,09:10
11/07,03:24,03:28,05:11,05:25,08:45,12:19,05:18,07:28,09:09
12/07,03:25,03:29,05:12,05:26,08:45,12:19,05:18,07:28,09:09
13/07,03:25,03:30,05:12,05:27,08:45,12:19,05:18,07:27,09:08
14/07,03:26,03:31,05:13,05:27,08:46,12:19,05:18,07:27,09:07
15/07,03:27,03:31,05:14,05:28,08:46,12:19,05:18,07:27,09:07
16/07,03:27,03:32,05:14,05:28,08:46,12:19,05:18,07:26,09:06
17/07,03:28,03:33,05:15,05:29,08:47,12:19,05:17,07:26,09:05
18/07,03:29,03:34,05:16,05:30,08:47,12:19,05:17,07:25,09:04
19/07,03:30,03:35,05:16,05:30,08:47,12:19,05:17,07:25,09:03
20/07,03:31,03:36,05:17,05:31,08:47,12:19,05:17,07:24,09:03
21/07,03:32,03:37,05:18,05:32,08:48,12:19,05:17,07:23,09:02
22/07,03:33,03:38,05:18,05:32,08:48,12:20,05:16,07:23,09:01
23/07,03:34,03:39,05:19,05:33,08:49,12:20,05:16,07:22,09:00
24/07,03:35,03:40,05:20,05:34,08:49,12:20,05:16,07:22,08:59
25/07,03:36,03:41,05:20,05:34,08:49,12:20,05:15,07:21,08:58
26/07,03:37,03:42,05:21,05:35,08:50,12:20,05:15,07:20,08:57
27/07,03:38,03:43,05:22,05:36,08:51,12:20,05:15,07:19,08:56
28/07,03:39,03:44,05:22,05:36,08:51,12:20,05:14,07:19,08:55
29/07,03:41,03:46,05:23,05:37,08:51,12:20,05:14,07:18,08:53
30/07,03:42,03:47,05:24,05:38,08:51,12:19,05:13,07:17,08:52
31/07,03:43,03:48,05:25,05:38,08:51,12:19,05:13,07:17,08:51
