Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/06,03:14,03:19,05:03,05:17,08:37,12:11,05:11,07:21,09:03
02/06,03:14,03:19,05:03,05:17,08:37,12:11,05:11,07:22,09:03
03/06,03:13,03:18,05:02,05:17,08:37,12:11,05:12,07:22,09:04
04/06,03:13,03:18,05:02,05:17,08:37,12:11,05:12,07:23,09:05
05/06,03:13,03:18,05:02,05:16,08:37,12:12,05:12,07:23,09:06
06/06,03:12,03:17,05:02,05:16,08:37,12:12,05:13,07:24,09:06
07/06,03:12,03:17,05:02,05:16,08:37,12:12,05:13,07:24,09:07
08/06,03:12,03:17,05:02,05:16,08:37,12:12,05:13,07:25,09:08
09/06,03:11,03:16,05:01,05:16,08:37,12:12,05:14,07:25,09:08
10/06,03:11,03:16,05:01,05:16,08:37,12:13,05:14,07:26,09:09
11/06,03:11,03:16,05:01,05:16,08:37,12:13,05:14,07:26,09:10
12/06,03:11,03:16,05:01,05:16,08:37,12:13,05:14,07:27,09:10
13/06,03:11,03:16,05:01,05:16,08:37,12:13,05:15,07:27,09:11
14/06,03:11,03:16,05:01,05:16,08:37,12:13,05:15,07:27,09:12
15/06,03:11,03:16,05:02,05:16,08:37,12:14,05:15,07:28,09:12
16/06,03:11,03:16,05:02,05:16,08:37,12:14,05:16,07:28,09:12
17/06,03:11,03:16,05:02,05:16,08:37,12:14,05:16,07:28,09:13
18/06,03:11,03:16,05:02,05:16,08:38,12:15,05:16,07:29,09:13
19/06,03:11,03:16,05:02,05:17,08:38,12:15,05:16,07:29,09:13
20/06,03:11,03:16,05:02,05:17,08:38,12:15,05:17,07:29,09:13
21/06,03:11,03:16,05:02,05:17,08:38,12:15,05:17,07:29,09:14
22/06,03:12,03:17,05:03,05:17,08:39,12:15,05:17,07:30,09:14
23/06,03:12,03:17,05:03,05:17,08:39,12:15,05:17,07:30,09:14
24/06,03:12,03:17,05:03,05:18,08:39,12:16,05:17,07:30,09:14
25/06,03:13,03:18,05:04,05:18,08:39,12:16,05:18,07:30,09:14
26/06,03:13,03:18,05:04,05:18,08:40,12:16,05:18,07:30,09:14
27/06,03:14,03:19,05:04,05:19,08:40,12:16,05:18,07:30,09:14
28/06,03:14,03:19,05:05,05:19,08:40,12:16,05:18,07:30,09:14
29/06,03:15,03:20,05:05,05:19,08:40,12:17,05:18,07:30,09:14
30/06,03:15,03:20,05:05,05:20,08:40,12:17,05:18,07:30,09:14
