Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/03,05:12,05:16,06:42,06:55,09:34,12:25,04:29,06:11,07:33
02/03,05:10,05:14,06:40,06:54,09:34,12:25,04:30,06:12,07:34
03/03,05:09,05:13,06:39,06:52,09:33,12:25,04:31,06:12,07:35
04/03,05:08,05:12,06:38,06:51,09:32,12:25,04:31,06:13,07:35
05/03,05:07,05:11,06:37,06:50,09:31,12:24,04:32,06:14,07:36
06/03,05:06,05:11,06:36,06:49,09:30,12:24,04:33,06:15,07:37
07/03,05:04,05:11,06:34,06:47,09:30,12:24,04:33,06:16,07:38
08/03,05:03,05:09,06:33,06:46,09:29,12:24,04:34,06:17,07:39
09/03,05:02,05:07,06:31,06:44,09:28,12:23,04:35,06:17,07:39
10/03,05:01,05:06,06:30,06:43,09:28,12:23,04:35,06:18,07:40
11/03,05:00,05:05,06:29,06:42,09:26,12:23,04:36,06:19,07:41
12/03,04:59,05:03,06:27,06:40,09:26,12:23,04:36,06:20,07:42
13/03,04:58,05:02,06:26,06:39,09:25,12:22,04:37,06:21,07:43
14/03,04:56,05:00,06:25,06:38,09:25,12:22,04:38,06:21,07:44
15/03,04:54,04:59,06:23,06:36,09:23,12:22,04:38,06:22,07:44
16/03,04:54,04:58,06:22,06:35,09:22,12:21,04:39,06:23,07:45
17/03,04:52,04:56,06:21,06:34,09:21,12:21,04:39,06:24,07:46
18/03,04:51,04:55,06:19,06:32,09:21,12:21,04:40,06:24,07:47
19/03,04:50,04:53,06:18,06:31,09:20,12:21,04:40,06:25,07:48
20/03,04:49,04:52,06:17,06:29,09:20,12:20,04:41,06:26,07:49
21/03,04:48,04:50,06:15,06:28,09:18,12:20,04:41,06:27,07:50
22/03,04:46,04:48,06:14,06:27,09:18,12:20,04:42,06:28,07:50
23/03,04:45,04:47,06:12,06:25,09:17,12:19,04:42,06:28,07:51
24/03,04:43,04:46,06:11,06:24,09:16,12:19,04:43,06:29,07:52
25/03,04:42,04:44,06:10,06:23,09:15,12:19,04:43,06:30,07:53
26/03,04:41,04:42,06:08,06:21,09:14,12:19,04:44,06:31,07:54
27/03,04:39,04:41,06:07,06:20,09:14,12:18,04:44,06:31,07:55
28/03,04:38,04:40,06:06,06:19,09:13,12:18,04:45,06:32,07:56
29/03,04:36,04:38,06:04,06:17,09:12,12:18,04:46,06:33,07:57
30/03,04:35,04:37,06:03,06:16,09:11,12:17,04:46,06:34,07:58
31/03,04:33,04:36,06:02,06:15,09:11,12:17,04:47,06:35,07:59
