Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/05,03:46,03:50,05:24,05:37,08:47,12:10,04:59,06:58,08:30
02/05,03:45,03:49,05:23,05:36,08:47,12:10,04:59,06:59,08:31
03/05,03:44,03:47,05:22,05:35,08:46,12:10,05:00,07:00,08:32
04/05,03:42,03:46,05:21,05:34,08:46,12:10,05:00,07:01,08:33
05/05,03:41,03:45,05:20,05:33,08:45,12:10,05:01,07:02,08:35
06/05,03:40,03:43,05:19,05:33,08:44,12:10,05:01,07:02,08:36
07/05,03:38,03:42,05:18,05:32,08:44,12:10,05:01,07:03,08:37
08/05,03:37,03:41,05:17,05:31,08:44,12:09,05:02,07:04,08:38
09/05,03:36,03:40,05:16,05:30,08:43,12:09,05:02,07:05,08:39
10/05,03:35,03:39,05:15,05:29,08:43,12:09,05:03,07:05,08:40
11/05,03:33,03:37,05:15,05:28,08:42,12:09,05:03,07:06,08:41
12/05,03:31,03:36,05:14,05:28,08:42,12:09,05:03,07:07,08:42
13/05,03:30,03:35,05:13,05:27,08:41,12:09,05:04,07:08,08:43
14/05,03:29,03:34,05:12,05:26,08:41,12:09,05:04,07:09,08:45
15/05,03:28,03:33,05:11,05:25,08:40,12:09,05:04,07:09,08:46
16/05,03:27,03:32,05:11,05:25,08:40,12:09,05:05,07:10,08:47
17/05,03:26,03:31,05:10,05:24,08:40,12:09,05:05,07:11,08:48
18/05,03:25,03:30,05:09,05:23,08:40,12:09,05:06,07:12,08:49
19/05,03:24,03:29,05:09,05:23,08:39,12:10,05:06,07:12,08:50
20/05,03:23,03:28,05:08,05:22,08:39,12:10,05:06,07:13,08:51
21/05,03:22,03:27,05:08,05:22,08:39,12:10,05:07,07:14,08:52
22/05,03:21,03:26,05:07,05:21,08:39,12:10,05:07,07:14,08:53
23/05,03:20,03:26,05:06,05:21,08:39,12:10,05:08,07:15,08:54
24/05,03:20,03:25,05:06,05:20,08:39,12:10,05:08,07:16,08:55
25/05,03:19,03:24,05:06,05:20,08:38,12:10,05:08,07:17,08:56
26/05,03:18,03:23,05:05,05:19,08:38,12:10,05:09,07:17,08:57
27/05,03:17,03:22,05:05,05:19,08:38,12:10,05:09,07:18,08:58
28/05,03:16,03:22,05:04,05:18,08:38,12:10,05:09,07:19,08:59
29/05,03:16,03:21,05:04,05:18,08:37,12:11,05:10,07:19,09:00
30/05,03:15,03:21,05:03,05:18,08:37,12:11,05:10,07:20,09:01
31/05,03:15,03:20,05:03,05:17,08:37,12:11,05:10,07:20,09:02
