Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/11,05:04,05:08,06:34,06:48,09:14,11:57,03:42,05:21,06:45
02/11,05:05,05:09,06:35,06:49,09:15,11:57,03:41,05:20,06:44
03/11,05:06,05:10,06:36,06:50,09:15,11:57,03:40,05:19,06:43
04/11,05:06,05:10,06:37,06:51,09:15,11:57,03:39,05:18,06:43
05/11,05:07,05:11,06:38,06:52,09:16,11:57,03:38,05:18,06:42
06/11,05:08,05:12,06:39,06:53,09:17,11:57,03:37,05:17,06:41
07/11,05:09,05:13,06:40,06:54,09:17,11:57,03:37,05:16,06:40
08/11,05:10,05:14,06:40,06:55,09:18,11:57,03:36,05:15,06:40
09/11,05:11,05:15,06:41,06:56,09:18,11:57,03:35,05:14,06:39
10/11,05:11,05:15,06:42,06:57,09:19,11:57,03:34,05:14,06:39
11/11,05:12,05:16,06:43,06:58,09:20,11:57,03:34,05:13,06:38
12/11,05:13,05:17,06:44,06:58,09:20,11:57,03:33,05:12,06:37
13/11,05:14,05:18,06:45,06:59,09:20,11:57,03:32,05:12,06:37
14/11,05:15,05:19,06:46,07:00,09:21,11:58,03:32,05:11,06:36
15/11,05:15,05:19,06:47,07:01,09:21,11:58,03:31,05:10,06:36
16/11,05:16,05:20,06:48,07:02,09:22,11:58,03:31,05:10,06:36
17/11,05:17,05:21,06:49,07:03,09:22,11:58,03:30,05:09,06:35
18/11,05:18,05:22,06:50,07:04,09:23,11:58,03:30,05:09,06:35
19/11,05:19,05:23,06:51,07:05,09:24,11:59,03:29,05:08,06:34
20/11,05:20,05:23,06:52,07:06,09:24,11:59,03:29,05:08,06:34
21/11,05:21,05:24,06:53,07:07,09:25,11:59,03:28,05:07,06:34
22/11,05:22,05:25,06:54,07:08,09:25,11:59,03:28,05:07,06:34
23/11,05:23,05:26,06:55,07:09,09:26,12:00,03:28,05:07,06:33
24/11,05:24,05:27,06:55,07:10,09:27,12:00,03:27,05:06,06:33
25/11,05:25,05:27,06:56,07:11,09:27,12:00,03:27,05:06,06:33
26/11,05:26,05:28,06:57,07:12,09:28,12:00,03:27,05:06,06:33
27/11,05:26,05:29,06:58,07:13,09:29,12:01,03:26,05:05,06:33
28/11,05:27,05:30,06:59,07:14,09:30,12:01,03:26,05:05,06:33
29/11,05:28,05:30,07:00,07:15,09:30,12:01,03:26,05:05,06:32
30/11,05:29,05:31,07:01,07:16,09:30,12:02,03:26,05:05,06:32
