Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/10,04:41,04:45,06:09,06:22,09:05,12:02,04:15,05:58,07:20
02/10,04:41,04:45,06:09,06:23,09:05,12:02,04:14,05:57,07:19
03/10,04:42,04:46,06:10,06:23,09:06,12:02,04:13,05:56,07:18
04/10,04:43,04:47,06:11,06:24,09:06,12:02,04:12,05:54,07:16
05/10,04:44,04:48,06:12,06:25,09:06,12:01,04:10,05:53,07:15
06/10,04:44,04:48,06:12,06:26,09:06,12:01,04:09,05:52,07:14
07/10,04:45,04:49,06:13,06:27,09:06,12:01,04:08,05:50,07:12
08/10,04:46,04:50,06:14,06:27,09:07,12:00,04:07,05:49,07:11
09/10,04:47,04:51,06:15,06:28,09:07,12:00,04:06,05:48,07:10
10/10,04:47,04:51,06:15,06:29,09:07,12:00,04:05,05:46,07:08
11/10,04:48,04:52,06:16,06:30,09:07,12:00,04:03,05:45,07:07
12/10,04:49,04:53,06:17,06:30,09:08,11:59,04:02,05:44,07:06
13/10,04:50,04:54,06:18,06:31,09:08,11:59,04:01,05:42,07:05
14/10,04:50,04:54,06:19,06:32,09:08,11:59,04:00,05:41,07:03
15/10,04:51,04:55,06:19,06:33,09:08,11:59,03:59,05:40,07:02
16/10,04:52,04:56,06:20,06:34,09:08,11:58,03:58,05:39,07:01
17/10,04:53,04:57,06:21,06:35,09:09,11:58,03:57,05:37,07:00
18/10,04:53,04:57,06:22,06:35,09:09,11:58,03:56,05:36,06:59
19/10,04:54,04:58,06:23,06:36,09:09,11:58,03:55,05:35,06:58
20/10,04:55,04:59,06:24,06:37,09:10,11:58,03:53,05:34,06:57
21/10,04:56,05:00,06:24,06:38,09:10,11:58,03:52,05:33,06:55
22/10,04:56,05:00,06:25,06:39,09:10,11:57,03:51,05:32,06:54
23/10,04:57,05:01,06:26,06:40,09:11,11:57,03:50,05:30,06:53
24/10,04:58,05:02,06:27,06:41,09:11,11:57,03:49,05:29,06:52
25/10,04:59,05:03,06:28,06:42,09:11,11:57,03:48,05:28,06:51
26/10,04:59,05:03,06:29,06:42,09:12,11:57,03:47,05:27,06:50
27/10,05:00,05:04,06:30,06:43,09:12,11:57,03:46,05:26,06:49
28/10,05:01,05:05,06:30,06:44,09:13,11:57,03:45,05:25,06:48
29/10,05:02,05:06,06:31,06:45,09:13,11:57,03:44,05:24,06:48
30/10,05:03,05:07,06:32,06:46,09:14,11:57,03:43,05:23,06:47
31/10,05:03,05:07,06:33,06:47,09:14,11:57,03:42,05:22,06:46
