Date,Intehai Sehr,Azan Fajr,Tulu Aftab,Ishraq,Chasht,Zawal,Asr,Maghrib,Isha
01/09,04:16,04:20,05:48,06:01,09:00,12:13,04:49,06:40,08:06
02/09,04:17,04:21,05:48,06:01,09:00,12:13,04:48,06:39,08:04
03/09,04:18,04:22,05:49,06:02,09:00,12:12,04:47,06:37,08:03
04/09,04:19,04:23,05:50,06:03,09:00,12:12,04:46,06:36,08:01
05/09,04:19,04:23,05:50,06:03,09:00,12:12,04:45,06:35,08:00
06/09,04:20,04:24,05:51,06:04,09:00,12:11,04:44,06:33,07:58
07/09,04:21,04:25,05:52,06:05,09:01,12:11,04:43,06:32,07:56
08/09,04:22,04:26,05:53,06:06,09:01,12:11,04:42,06:30,07:55
09/09,04:23,04:27,05:53,06:06,09:01,12:10,04:41,06:29,07:53
10/09,04:24,04:28,05:54,06:07,09:02,12:10,04:39,06:28,07:52
11/09,04:25,04:29,05:55,06:08,09:02,12:09,04:38,06:26,07:50
12/09,04:25,04:29,05:55,06:08,09:02,12:09,04:37,06:25,07:49
13/09,04:26,04:30,05:56,06:09,09:02,12:09,04:36,06:24,07:47
14/09,04:27,04:31,05:57,06:10,09:02,12:08,04:35,06:22,07:46
15/09,04:28,04:32,05:57,06:10,09:02,12:08,04:34,06:21,07:44
16/09,04:29,04:33,05:58,06:11,09:02,12:08,04:33,06:19,07:43
17/09,04:30,04:34,05:59,06:12,09:02,12:07,04:32,06:18,07:41
18/09,04:30,04:34,05:59,06:12,09:03,12:07,04:30,06:16,07:40
19/09,04:31,04:35,06:00,06:13,09:03,12:07,04:29,06:15,07:38
20/09,04:32,04:36,06:01,06:14,09:03,12:06,04:28,06:14,07:36
21/09,04:33,04:37,06:02,06:15,09:03,12:06,04:27,06:12,07:35
22/09,04:34,04:38,06:02,06:15,09:03,12:06,04:26,06:11,07:34
23/09,04:34,04:38,06:03,06:16,09:03,12:05,04:25,06:09,07:32
24/09,04:35,04:39,06:04,06:17,09:04,12:05,04:23,06:08,07:31
25/09,04:36,04:40,06:04,06:18,09:04,12:04,04:22,06:07,07:29
26/09,04:37,04:41,06:05,06:18,09:04,12:04,04:21,06:05,07:28
27/09,04:37,04:41,06:06,06:19,09:04,12:04,04:20,06:04,07:26
28/09,04:38,04:42,06:07,06:20,09:05,12:03,04:19,06:02,07:25
29/09,04:39,04:43,06:07,06:20,09:05,12:03,04:18,06:01,07:23
30/09,04:40,04:44,06:08,06:21,09:05,12:03,04:16,06:00,07:22
